,Unnamed: 0,Unnamed: 0.1,Time,Name,Tweet_status,Text,Length,Location,polarity,subjectivity
0,0,0,09-09-19 10:11,pun_naughtyy,Retweet,Space hard commend attempt land #Chandrayaan mission Moon South Pole inspired us journey look forward future opportunities explore solar system together,21,Delhi,negative,0.3333333333333333
1,1,1,09-09-19 10:11,ajeet0910,Retweet,Vikram spotted one piece come #ISRO entire country waiting #ISROSpotsVikram,10,"New Delhi, India",positive,0.625
2,2,2,09-09-19 10:11,murali772,Retweet,Meaningful words Nothing failure scientific experiments Failure one expected perform Hope future concentrate science experiments Hats #ISRO everyone made valuable experiment possible,22,Bangalore,negative,0.4375
3,3,3,09-09-19 10:11,kansalsubodh,Retweet,Vikram lander broken Sigh hope Let keep fingers crossed #ISROSpotsVikram #ISRO,11,New Delhi,negative,0.4
4,4,4,09-09-19 10:11,urjagan,Retweet,#Vikram single piece tilted position official Read #ISRO #isromissions #Chandrayaan #ISROSpotsVikram,11,"Rajahmundry, India",negative,0.21428571428571427
5,5,5,09-09-19 10:11,vikasraina,Retweet,take journalist accreditation back prosecute selling classified information,8,,positive,0.0
6,6,6,09-09-19 10:11,Abhay73g,Retweet,#BREAKING #ISRO #ISROSpotsVikram,3,India,positive,0.0
7,7,7,09-09-19 10:11,ANWESH5PATI,Retweet,#ISRO locates Vikram lander intact tilted lunar surface #VikramLanderFound #Chandrayaan,10,Earth,positive,0.0
8,8,8,09-09-19 10:11,BargaliPramod,Tweet,Jai Hind,2,"New Delhi, India",positive,0.0
9,9,9,09-09-19 10:11,puru2012,Retweet,ISRO #Chandrayaan #Chandrayaan #ISRO #ISROMission #VikramLander #ProudOfISRO,7,,positive,0.0
10,10,12,09-09-19 10:11,ShamChavan13,Tweet,sir sir,2,,positive,0.0
11,11,14,09-09-19 10:11,Gaurav473001,Tweet,#chandrayan #ISRO #proudisro #proudindian #india #gauravg prajapati #studytap,8,,positive,0.0
12,12,19,09-09-19 10:11,me_rakhi28,Retweet,# #ISRO,2,Bhubaneswar Odisha,positive,0.0
13,13,22,09-09-19 10:11,DrRPTripathi1,Retweet,Congratulations team #ISRO incredible work Chandrayaan Moon Mission passion amp dedication inspiration every Indian work vain laid foundation many path breaking amp ambitious Indian space missions,26,,positive,0.7166666666666667
14,14,24,09-09-19 10:11,SomDagadghate,Retweet,Dear Vikram Please Respond looking deliver Happiness without charge #VikramLanderFound #ISRO #ISROSpotsVikram,12,Maharashtra Aurangabad,positive,0.2
15,15,25,09-09-19 10:11,DailyTrendingN1,Tweet,#VikramLander #vikramPragyanLandsMoon #IndiaOnTheMoon #ISRO,4,"Rajasthan, India",positive,0.0
16,16,31,09-09-19 10:11,sanatanivivek,Retweet,# PAK #ISROSpotsVikram #ISRO #IsroPerGarvHai #ISROzindabad,6,"बिलासपुर, Hindustan",positive,0.0
17,17,33,09-09-19 10:11,worshipami,Retweet,Rough breaking #VikramLander ends Fine braking phase starts #Chandrayaan #ISRO,10,Lalitpur,positive,0.45
18,18,34,09-09-19 10:11,coolshu97,Retweet,Another Big News Vikram Spotted one piece come #ISRO Entire country Waiting #ISROSpotsVikram,13,"Patna, India",positive,0.3625
19,19,36,09-09-19 10:11,vijyendrajadon,Retweet,#Chandaryaan mission #ISRO,3,विदिशा,positive,0.0
20,20,37,09-09-19 10:11,worshipami,Retweet,Powered descent Rough Braking #VikramLander begins #ISRO,7,Lalitpur,negative,0.4
21,21,38,09-09-19 10:11,RohitJogpal,Retweet,Many seem sharing image claiming #Chandrayaan #LanderVikram Lunar surface Well Apollo lunar landing site #VikramLander site #VikramLanderFound #vikramPragyanLandsMoon #Chandrayaan #IsroPerGarvHai #ISRO,21,,positive,0.5
22,22,40,09-09-19 10:11,Janakiram_STPI,Retweet,BREAKING NEWS #Chandrayaan #Vikramlander located Moon #ISRO,7,"Hyderabad, India",positive,0.0
23,23,43,09-09-19 10:12,PHulchul,Tweet,ISRO #VikramLander #vikramPragyanLandsMoon #IndiaOnTheMoon #ISRO,5,,positive,0.0
24,24,44,09-09-19 10:12,worshipami,Retweet,live Twitter Facebook Youtube Join us #VikramLander begins descent minutes #ISRO,11,Lalitpur,positive,0.5
25,25,46,09-09-19 10:12,Aj451098,Retweet,Rakesh Sharma India looked space said Saare Jahan se Achcha Hindustan Humara get us moon farther galaxies amp shall say pride Salute efforts #ISRO Jai Hind #Chandrayaan,27,"Mumbai,India",positive,0.0
26,26,47,09-09-19 10:12,GoswamiMeenaks1,Retweet,#ISROSpotsVikram #ISRO,2,"Delhi, India",positive,0.0
27,27,52,09-09-19 10:12,SoulTweety,Retweet,Looks like way left communicate #VikramLander #VikramLanderFound #ISRO,8,Gujarat ;INDIA ,positive,0.0
28,28,53,09-09-19 10:12,diwakersharma21,Retweet,Sorry dear Indians Pakistanis feel ashamed someone like #FawadChaudhary Science Technology Minister wish #ISRO best space endeavors truly incredible job Good wishes Pakistan,23,"New Delhi, India",positive,0.7000000000000001
29,29,59,09-09-19 10:12,GNaraya33023093,Retweet,#VikramLanderFound #NDTVFrauds #mondaythoughts #PranayRoy says #PallavBagla done great service #ISRO amp Indian science guy even know basics #Chandrayaan asking Dr Sivan many astronauts India going b sent Chandranyan,28,chennai,positive,0.625
30,30,61,09-09-19 10:12,ARUNSIVA1,Retweet,#BREAKING #ISRO #Chandrayaan #VikramLanderFound,4,"Trichy,Tamil Nadu",positive,0.0
31,31,64,09-09-19 10:12,DSraay,Retweet,Beautiful gives goosebumps,3,Bharat,positive,1.0
32,32,65,09-09-19 10:12,Shivkum65701086,Tweet,#ISRO,1,,positive,0.0
33,33,70,09-09-19 10:12,tarakbhattacha2,Retweet,#IndiaTodayInsight #ISRO time pause many eight major missions planned next decade including sending probes Sun Mars Venus Chandrayaan return moon #IndiaTodayMagazine,21,"Kolkata, India",positive,0.3333333333333333
34,34,71,09-09-19 10:12,iwastarzan,Tweet,ISRO Hello #VikramLanding ISRO Lander ISRO Please respond Lander #ISRO Mitro Lander main modi bol rha hun #VikramLanderFound,18,,positive,0.3333333333333333
35,35,73,09-09-19 10:12,tellypyaar,Retweet,#Breaking lander single piece broken pieces tilted position #ISRO official associated mission claimed #Chandrayaan #VikramLander #ISROweareproudofyou #ISROSpotsVikram #IndiaWithISRO,18,,negative,0.3071428571428572
36,36,74,09-09-19 10:12,aksinhaster,Retweet,Vikram Lander Located ISRO confirms lander safe attempts made establish communication Live #ISRO #Vikramlander #chandrayaan,15,India,positive,0.5
37,37,76,09-09-19 10:12,RahulKu32890545,Tweet,allow journalist take photos scientists thought ISRO campus high security area allowing close photos scientists amp revealing identities #ISRO putting harm way #ISROSpotsVikram #IsroPerGarvHai #IsroScientists,25,"Kolkata, India",positive,0.5399999999999999
38,38,77,09-09-19 10:12,prvn108_,Retweet,ISRO #ISRO #Scientists #Salary #NarendraModi #BJP #Chandrayaan # # #,10,SUPAUL PATNA BIHAR,positive,0.0
39,39,79,09-09-19 10:12,VashistIshwar02,Retweet,# #ISRO C #ProudToBeIndian,4,India,positive,0.0
40,40,80,09-09-19 10:12,granbuselvan2,Retweet,# #ProudOfISRO #ISRO #Sivan #Chandrayaan,5,"Kattankulathur, India",positive,0.0
41,41,81,09-09-19 10:12,SanjeeTripathi,Retweet,Bharatvarsh extremely proud #ISRO confident take Giant Leaps Space Technology Mission Moon Chandrayaan Mars Orbiter Mission Mangalayaan Observatory Space Astrosat #ISROMissions,21,gwalior (M.P.),positive,0.9444444444444444
42,42,87,09-09-19 10:12,manoj894mahar,Retweet,#NASA lauded India historic #Chandrayaan mission saying #ISRO attempt soft land Vikram module lunar South Pole inspired,17,uttarkashi,positive,0.175
43,43,88,09-09-19 10:12,sanjayranjan,Retweet,Insulting ISRO scientists halfhearted apology NDTV journo Pallava Bagla needs banned #chandrayaan #ISRO #PallavaBagla via,15,,negative,1.0
44,44,94,09-09-19 10:12,avblnb,Retweet,nothing like failure science experiment amp gain Massive respect scientists #ISRO worked relentlessly days amp nights nation proud Jai Hind #Chandrayan,21,Bangalore,positive,0.7666666666666666
45,45,102,09-09-19 10:12,MANISHK90336236,Retweet,ISRO #ISRO #LanderVikram,3,sd card,positive,0.0
46,46,103,09-09-19 10:12,ravi8759398736,Retweet,Chandrayan science emotion #ISROSpotsVikram #ISRO #IndiaOnTheMoon,6,"Bengaluru South, India",positive,0.0
47,47,116,09-09-19 10:12,vikaaschopra,Retweet,journlist talked #ISRO spokesperson derogatory manner submitted pics ISRO scientists Getty images According Getty rules person submitting pics must written permission owner without permission,24,,positive,0.0
48,48,118,09-09-19 10:12,riazshq2020,Retweet,Jab Deepak Ch tiya jaise astronaut hai toh #ISRO time paas kyu kar raha hai Modia wale hi bata denge chaand mei pani hai ya nahi,26,,positive,0.0
49,49,121,09-09-19 10:12,WeMedia_Content,Tweet,lander single piece broken pieces tilted position #ISRO official associated mission claimed #Chandrayaan #VikramLander #ISROweareproudofyou #ISROSpotsVikram #IndiaWithISRO #ISROweareproudofyou #IsroPerGarvHai,19,"Pune, India",negative,0.3071428571428572
50,50,128,09-09-19 10:12,ViralVaishnav2,Retweet,#ISRO may huge annual budget like space agencies brilliant minds working hard make India space power timeline various milestones,19,New Delhi,positive,0.7354166666666666
51,51,131,09-09-19 10:12,PrettyNaz_,Retweet,ISRO Vikram Lander ISRO Please respond Lander ISRO Hello Lander ISRO Chowkidar Lander Chor hai #ISRO #VikramLander,17,"New Delhi, India",positive,0.0
52,52,133,09-09-19 10:12,fighter_isha,Retweet,officially confirmed chairman personal account social media #Isro,8,,positive,0.4555555555555556
53,53,134,09-09-19 10:12,GoswamiMeenaks1,Retweet,#PKMKB #PKMKBForever #Pakistan #ProudOfISRO #ProudIndian #ISRO #ISROweareproudofyou #IsroPerGarvHai #IsroPerGarvHai #Chandrayaan #Chandrayaan #JaiHind,12,"Delhi, India",positive,0.0
54,54,140,09-09-19 10:13,VijayKu82319421,Retweet,Chandryaan ISRO #Chandrayaan #ISRO #VikramLander,5,Gangapur City India,positive,0.0
55,55,145,09-09-19 10:13,Majhie_Mee_Dhan,Tweet,beautiful mesmerising Bharat Mata ki Jai #JaiHind #ISROweareproudofyou #ISRO #ISROSpotsVikram,10,Varshu Heart Forever,positive,1.0
56,56,148,09-09-19 10:13,rkpandeyguruji7,Retweet,#ISRO ISRO,2,India,positive,0.0
57,57,150,09-09-19 10:13,SanjayA32520675,Retweet,Vs #SoniyaGandhi #ISRO #kshivan #Chandrayan #mondaythoughts,6,,positive,0.0
58,58,156,09-09-19 10:13,ashok_chalana,Retweet,#Pakistan #astronaut congratulates #ISRO #Chandrayaan,5,💙of punjab ,positive,0.0
59,59,157,09-09-19 10:13,bouquet1416,Retweet,#ISRO #ProudOfYouISRO #,3,,positive,0.0
60,60,162,09-09-19 10:13,LegendNewsin,Tweet,Lander Vikram #LanderVikramissafe #isro #ISROSpotsVikram Legend News,7,India,positive,0.0
61,61,163,09-09-19 10:13,THE_BHAGATSINGH,Retweet,PM #NarendraModi #Haryana #BJP #Chandrayan #ISRO #Vote #Election # # #,11,क्रांतिकारियो का दिल,positive,0.0
62,62,167,09-09-19 10:13,gdsingh99,Retweet,#ISRO Exchange Notes #Israel SpaceIL Investigate Communication Loss #Chandrayaan Vikram Lander something common occurred Chandrayaan amp Beresheet landing operations going awry scientists reports,23,new delhi,negative,0.5
63,63,168,09-09-19 10:13,ap7am,Tweet,#ap #ISRO #VikramLander #Chandrayaan,4,"Hyderabad, Telangana",positive,0.0
64,64,170,09-09-19 10:13,rbavinash,Retweet,Doctors go save lives patient shameful rough element society ready attack even kill doctors Well shameful silence authorities brutal attacks #Doctor #ISRO #Chandrayan,23,"Varanasi, India",negative,0.6333333333333333
65,65,177,09-09-19 10:13,AdShivamsharma,Retweet,#Banswara #Rajasthan #Chandrayaan #Isro #PriyankaChaudhary # # # # #,10,"(अलीगढ़)नई दिल्ली,भारत",positive,0.0
66,66,178,09-09-19 10:13,usha_kaul,Retweet,PM Modi besides PM also Minister charge Department Space Pl inform idiots clutching straws trying find faults exemplary leadership #ISRO #Chandrayaan #IsroPerGarvHai #MODIfied,23,,negative,0.8
67,67,182,09-09-19 10:13,being_an_ANUP,Retweet,United Arab Emirates Space UAE Agency assure full support #ISRO following loss contact spacecraft #Chandrayaan land moon India proved strategic player space sector amp partner development amp achievements,28,,positive,0.325
68,68,183,09-09-19 10:13,Viswav12,Retweet,account Twitter ISRO chairman K Sivan told,7,,positive,0.0
69,69,184,09-09-19 10:13,SaiFilm_Studio,Tweet,latest studio Daily Thanks #isro #ramjethmalani,6,"विरार पश्चिम, मुंबई",positive,0.3666666666666667
70,70,185,09-09-19 10:13,caashujha,Retweet,Good News ISRO Vikram module located lunar surface healthy safe functioning normally intended orbit around moon According ISRO Breakage #VikramLandersafe #ISRO #ISROSpotsVikram #IndiaOnTheMoon,23,"New Delhi, India",positive,0.5625
71,71,187,09-09-19 10:13,Rajeev63Rk,Retweet,#ISROChief #ISRO #NASA #ISROweareproudofyou,4,India,positive,0.0
72,72,189,09-09-19 10:13,Janakiram_STPI,Retweet,#ISRO scientists gearing historic moment India moon lander #Vikram touches lunar surface tomorrow morning #Chandrayaan,15,"Hyderabad, India",positive,0.0
73,73,190,09-09-19 10:13,ramanabgunuri11,Retweet,#VikramLander found one piece #ISRO says making efforts establish link #moonlander #ISROSpotsVikram,12,,positive,0.0
74,74,191,09-09-19 10:13,nikhilrar029,Tweet,#ISRO #Chandrayaan #ISROSpotsVikram,3,,positive,0.0
75,75,194,09-09-19 10:13,kamachisreen,Retweet,Hello Vikram Talk us Come Brilliant #ISRO Ab bolo Aur trend karvana hai failed failed waale trends #vikramPragyanLandsMoon #VikramLanderfound,19,"KUALA LUMPUR, MALAYSIA",negative,0.5333333333333333
76,76,203,09-09-19 10:13,DocpuneeT,Retweet,Breaking Vikram lander safe attempts made establish connection ISRO #ISRO #chandrayaan #vikramlander #VikramisSafe,13,"Mohali, India",positive,0.5
77,77,215,09-09-19 10:13,Gopalrana03,Tweet,#ISRO #ISROSpotsVikram,2,"Noida, India",positive,0.0
78,78,217,09-09-19 10:13,YashArdesana,Retweet,ISRO Vikram Lander ISRO Please respond Vikram Lander ISRO Hello Vikram Lander ISRO Jinhe mera dil luteya Vikram Lander Oho Dude WTF #isro #isrorocks #VikramLander #India,26,"Gujarat, India",negative,1.0
79,79,220,09-09-19 10:13,lionoflostworld,Tweet,#isro #VikramLanderFound #vikramPragyanLandsMoon #goodnews #BREAKING,5,"South Pole, Moon ",positive,0.0
80,80,221,09-09-19 10:14,PunjabKesariCom,Tweet,#Chandrayaan #ISRO #KSivan #Landervikram #Moon,5,"New Delhi, India",positive,0.0
81,81,222,09-09-19 10:14,NextWarri0r,Retweet,letter #VikramLander copy Prime Minister ji chief #KSivan ji scientists #ISRO fellow Indians world Please retweet much actually reaches Jai Ho Jai Hind #Chandrayaan,24,Earth,positive,0.1
82,82,226,09-09-19 10:14,Reflex_Tim,Tweet,ISRO Vikram Lander ISRO Common Buddy Please respond Lander ISRO Saton Janam Tere Main Sath Rahunga Yar Lander Mar Bhi Gaya Main Tujhe Karta Rahunga Pyar #ISROSpotsVikram #ISROweareproudofyou #isro Plz Vikram Plz,32,,positive,0.3888888888888888
83,83,231,09-09-19 10:14,KishanRJat2,Retweet,#VikramLander #ISRO #Chandrayaan #IndiaWithISRO,4,"महाराष्ट्र, भारत",positive,0.0
84,84,234,09-09-19 10:14,vipul2777,Tweet,Tilt Karke bajaj scooters bhi start ho jaata hai Chill maaro sab #VikramLander communicate soon #vikramPragyanLandsMoon #VikramLanderFound #IsroPerGarvHai #ISRO #Chandrayaan,20,next to electric socket ,positive,0.0
85,85,235,09-09-19 10:14,kaushalmodi,Retweet,#Chandrayaan mission highly complex mission represented significant technological leap compared previous missions #ISRO explore unexplored south pole Moon updates please visit,21,"Hillsborough, NC",negative,0.4805555555555556
86,86,240,09-09-19 10:14,ShivangKrish,Retweet,Tedha hai par mera hai #Vikram tilted intact #ISRO,9,,positive,0.0
87,87,242,09-09-19 10:14,HardikPandya228,Tweet,#VikramLanderFound #ISRO #ISROSpotsVikram,3,India,positive,0.0
88,88,243,09-09-19 10:14,rbavinash,Retweet,NASA wants work #ISRO explore Solar System Inspired #Chandrayan mission NASA seeks joint Solar System exploration NASA knows complex Chandrayan appreciation real testimony huge success first attempt,27,"Varanasi, India",positive,0.33888888888888896
89,89,247,09-09-19 10:14,madhancsea57,Retweet,Sona college Contributor key technology Chandrayan launch vehicle #chandrayan #isro #sonaspeed #sonatech #scientist #chandrayaan Read,15,"Salem, India",positive,1.0
90,90,256,09-09-19 10:14,VarthaBharatiEn,Tweet,Lander Vikram single piece tilted position #ISRO Official,8,India,negative,0.21428571428571427
91,91,258,09-09-19 10:14,HaqParastPak,Tweet,#Suparco Head Major General Amer Nadeem lumber Army ex #ISRO Head chairmain Dr Kailasavadivoo Sivan Space Scientist difference,18,"Karachi, Pakistan",positive,0.5
92,92,259,09-09-19 10:14,anandhan81,Retweet,Sabotage #VikramLander Completely Safe Source #ISRO #ISROSpotsVikram,7,,positive,0.5
93,93,260,09-09-19 10:14,mishrs_a,Retweet,NASA #ISRO,2,,positive,0.0
94,94,261,09-09-19 10:14,SDK_2pointO,Retweet,#ThinkPositive #Vikram #ISRO,3,"Chennai, India",positive,0.0
95,95,262,09-09-19 10:14,VivekRFdez,Retweet,science writer covered govt anti science current one Nothing PM incl insincere photo op hug changes badly govt hurt scientific temperament India eg #ISRO,24,,negative,0.5333333333333333
96,96,263,09-09-19 10:14,9uruSin9h,Retweet,#ISRO yes amp,3,New Delhi,positive,0.0
97,97,264,09-09-19 10:14,abhi_desh_mukh,Tweet,#ISROSpotsVikram #ISROweareproudofyou #ISRO #Chandrayaan,4,Kolhapur,positive,0.0
98,98,267,09-09-19 10:14,isha0203,Tweet,Chandrayaan Vikram lander lying titled position surface moon one piece official Indian Space Research Organisation said amid efforts space agency establish communication #ISRO,23,"Thane, India",positive,0.0
99,99,269,09-09-19 10:14,DrAruneshSing1,Retweet,Analysis #Chandrayaan #Chandrayaan #ISRO #ISROMission #VikramLander #ProudOfISRO,7, AMETHI ( U.P.),positive,0.0
100,100,270,09-09-19 10:14,Bharathaasthe,Retweet,#VikramLander made hard landing Moon surface amp standing tilted one piece amp damage Lander #ISRO trying communicate Lander #Chandrayaan #ISROSpotsVikram,20,Bangalore,negative,0.5416666666666666
101,101,275,09-09-19 10:14,ipliscsk,Retweet,#ISRO #Chandrayaan,2,"Indore, India",positive,0.0
102,102,277,09-09-19 10:14,ankit_sps,Retweet,# # # #IndiaOnTheMoon #IsroPerGarvHai #VikramLanderFound #ISRO #Chandrayan #ISRO,9,,positive,0.0
103,103,278,09-09-19 10:14,ajeet0910,Retweet,best yet come #ISRO #ISROSpotsVikram,5,"New Delhi, India",positive,0.3
104,104,284,09-09-19 10:14,MiniK_Singh,Tweet,Aww innocuous tweet wish Vikram responds,6,धरती पे ही हूँ।,positive,0.9
105,105,289,09-09-19 10:14,NidhiSi22101,Retweet,Ch Ch ya #WorthlessPakistan #PKMKB #PakistanTheSlaveofIndia #ISRO #VikramLander #ProudOfISRO #ProudIndia #Chandrayaan,11,"Uttar Pradesh, India",positive,0.0
106,106,297,09-09-19 10:15,ians_india,Tweet,Indian Space Research Organisation #ISRO clarified September Chairman #KSivan personal account #socialmedia Photo IANS,14,New Delhi,positive,0.3
107,107,298,09-09-19 10:15,ishan13428910,Retweet,#BREAKING #ISRO,2,,positive,0.0
108,108,301,09-09-19 10:15,373AnilYadav_SP,Retweet,#isro #chandrayaan,2,Ghazipur,positive,0.0
109,109,302,09-09-19 10:15,KalingaSon,Tweet,meantime #NASA #ISRO IRSO amp NASA EXPLORE SOLAR SYSTEM Original Research ID Records #Chandrayaan,14,"Bhubaneshwar, India",positive,0.75
110,110,303,09-09-19 10:15,its_Aruhi,Retweet,#ISRO #ProudOfISRO #Chandrayaan #IsroPerGarvHai #IndiaWithISRO,5,,positive,0.0
111,111,307,09-09-19 10:15,PKJillu,Retweet,Dear Vikram Please Please Respond Entire Nation Waiting #VikramLanderFound #ISRO #ISROSpotsVikram,11,"Dharmapuri, India",positive,0.625
112,112,314,09-09-19 10:15,AajKaMowgli,Retweet,failed attempt conquer #MountEverest #SirEdmundHillary said come amp conquer U mountain U grow human Rest history #ProudOfISRO #ISROweareproudofyou #ISRO #ISROMissions #IsroPerGarvHai #isropargarvhai,22,Forest Of Amazon,negative,0.2
113,113,316,09-09-19 10:15,samrath19sam,Retweet,Vikram Lander crashed means #ISROSpotsVikram #VikramLanderFound #ISRO #Vikram,8,India,positive,0.0
114,114,318,09-09-19 10:15,AkashSi56293712,Retweet,#Chandrayaan #VikramLander single piece despite hard landing #ISRO sources,9,"Lucknow, India",negative,0.3779761904761905
115,115,319,09-09-19 10:15,Ravikir97796124,Retweet,proud ISRO #ISRO #Chandrayaan,4,"Hyderabad, India",positive,1.0
116,116,325,09-09-19 10:15,Sara_Aashiaana,Tweet,Bolo Vikram JaiHind,3,"Coimbatore, India",positive,0.0
117,117,330,09-09-19 10:15,IndianPapaJi,Retweet,Maine Kaha Tha Ek Bar Fir Kaih raha Hu #ISROweareproudofyou #ISRO #KSivan #BharatCyberSoldiers,13,,positive,0.0
118,118,333,09-09-19 10:15,cgschand,Retweet,Foreign satellites launched #ISRO U Canada U K Germany Singapore Korea Belgium Algeria Israel Italy Japan Austria France Indonesia Switzerland Finland Netherlands #Till Nov List complete #IsroPerGarvHai,27,,negative,0.2625
119,119,334,09-09-19 10:15,jannatemalik,Retweet,#ISRO #IsroPerGarvHai #ISROSpotsVikram #Vikramlandersafe,4,सांतवे आसमान पर ,positive,0.0
120,120,338,09-09-19 10:15,Lalitkumar1964,Tweet,Bhai vah,2,"Himatnagar, India",positive,0.0
121,121,341,09-09-19 10:15,popatraokadam,Retweet,# #MoonMission #ISRO #IndiaMakesHistory #Chandrayaan #Chandrayaan Landing #VikramLander,8,"Mulund East, Mumbai",positive,0.0
122,122,345,09-09-19 10:15,Capoglou,Tweet,Show us photos finally waiting lot misinformation going around #Chandrayaan state #VikramLander,12,My permanent address is the Future,positive,1.0
123,123,347,09-09-19 10:15,popatraokadam,Retweet,# #MoonMission #ISRO #IndiaMakesHistory #Chandrayaan #Chandrayaan theMoon,7,"Mulund East, Mumbai",positive,0.0
124,124,360,09-09-19 10:15,Bhavesh_NP23,Tweet,#ISRO #LanderVikram #Chandrayan #ISRO #IndiaOnTheMoon #india,6,"Navsari, India",positive,0.0
125,125,366,09-09-19 10:16,83ideas,Tweet,Chandrayaan remembered step back take giant leap ahead Nothing deter ISRO capability image enforce extraordinary #Chandrayaan #ISRO #IndiaTouchesMoon #GiantLeep,19,"Mohali, India",positive,0.6666666666666666
126,126,371,09-09-19 10:16,ArambamAttam,Retweet,Crore Million Million Billion Crore Billion Crore Billion Billion First get urself admitted primary school amp learn basic mathematics discuss Space Science amp Technology day #InternationalLiteracyDay #ISRO #Chandrayan,28,,positive,0.3194444444444444
127,127,374,09-09-19 10:16,aka_royal,Tweet,respect privacy disturb wake inform us #IsroPerGarvHai #IsroScientists #isro #ISROSpotsVikram #vikramPragyanLandsMoon,11,india,positive,0.0
128,128,379,09-09-19 10:16,RanjanJaiswal39,Retweet,#ISRO #ISRO,2,Mumbai,positive,0.0
129,129,380,09-09-19 10:16,TarakRindani,Retweet,ISRO sighted #Vikram moon lander lost contact km touchdown Yes located lander Lunar surface must hard landing #ISRO Chief K Sivan,21,Global Citizen,negative,0.5416666666666666
